id,sku,qty
z00217,s0217,2
z00218,s0218,3
z00219,s0219,4
z00220,s0220,5
z00221,nope,6
z00222,s0222,7
z00223,s0223,8
z00224,s0224,9
z00225,s0225,1
z00226,s0226,2
z00227,s0227,3
z00228,s0228,4
z00229,s0229,5
z00230,s0230,6
z00231,s0231,7
z00232,s0232,8
z00233,s0233,9
z00234,s0234,1
z00235,s0235,2
z00236,s0236,3
z00237,s0237,4
z00238,nope,5
z00239,s0239,6
z00240,s0240,7
z00241,s0241,8
z00242,s0242,9
z00243,s0243,1
z00244,s0244,2
z00245,s0245,3
z00246,s0246,4
z00247,s0247,5
z00248,s0248,6
z00249,s0249,7
z00250,s0250,8
z00251,s0251,9
z00252,s0252,1
z00253,s0253,2
z00254,s0254,3
z00255,nope,4
z00256,s0256,5
z00257,s0257,6
z00258,s0258,7
z00259,s0259,8
z00260,s0260,9
z00261,s0261,1
z00262,s0262,2
z00263,s0263,3
z00264,s0264,4
z00265,s0265,5
z00266,s0266,6
z00267,s0267,7
z00268,s0268,8
z00269,s0269,9
z00270,s0270,1
z00271,s0271,2
z00272,nope,3
z00273,s0273,4
z00274,s0274,5
z00275,s0275,6
z00276,s0276,7
z00277,s0277,8
z00278,s0278,9
z00279,s0279,1
z00280,s0280,2
z00281,s0281,3
z00282,s0282,4
z00283,s0283,5
z00284,s0284,6
z00285,s0285,7
z00286,s0286,8
z00287,s0287,9
z00288,s0288,1
z00289,nope,2
z00290,s0290,3
z00291,s0291,4
z00292,s0292,5
z00293,s0293,6
z00294,s0294,7
z00295,s0295,8
z00296,s0296,9
z00297,s0297,1
z00298,s0298,2
z00299,s0299,3
z00300,s0300,4
z00301,s0301,5
z00302,s0302,6
z00303,s0303,7
z00304,s0304,8
z00305,s0305,9
z00306,nope,1
z00307,s0307,2
z00308,s0308,3
z00309,s0309,4
z00310,s0310,5
z00311,s0311,6
z00312,s0312,7
z00313,s0313,8
z00314,s0314,9
z00315,s0315,1
z00316,s0316,2
z00317,s0317,3
z00318,s0318,4
z00319,s0319,5
z00320,s0320,6
z00321,s0321,7
z00322,s0322,8
z00323,nope,9
z00324,s0324,1
z00325,s0325,2
z00326,s0326,3
z00327,s0327,4
z00328,s0328,5
z00329,s0329,6
z00330,s0330,7
z00331,s0331,8
z00332,s0332,9
z00333,s0333,1
z00334,s0334,2
z00335,s0335,3
z00336,s0336,4
z00337,s0337,5
z00338,s0338,6
z00339,s0339,7
z00340,nope,8
z00341,s0341,9
z00342,s0342,1
z00343,s0343,2
z00344,s0344,3
z00345,s0345,4
z00346,s0346,5
z00347,s0347,6
z00348,s0348,7
z00349,s0349,8
z00350,s0350,9
z00351,s0351,1
z00352,s0352,2
z00353,s0353,3
z00354,s0354,4
z00355,s0355,5
z00356,s0356,6
z00357,nope,7
z00358,s0358,8
z00359,s0359,9
z00360,s0360,1
z00361,s0361,2
z00362,s0362,3
z00363,s0363,4
z00364,s0364,5
z00365,s0365,6
z00366,s0366,7
z00367,s0367,8
z00368,s0368,9
z00369,s0369,1
z00370,s0370,2
z00371,s0371,3
z00372,s0372,4
z00373,s0373,5
z00374,nope,6
z00375,s0375,7
z00376,s0376,8
z00377,s0377,9
z00378,s0378,1
z00379,s0379,2
z00380,s0380,3
z00381,s0381,4
z00382,s0382,5
z00383,s0383,6
z00384,s0384,7
z00385,s0385,8
z00386,s0386,9
z00387,s0387,1
z00388,s0388,2
z00389,s0389,3
z00390,s0390,4
z00391,nope,5
z00392,s0392,6
z00393,s0393,7
z00394,s0394,8
z00395,s0395,9
z00396,s0396,1
z00397,s0397,2
z00398,s0398,3
z00399,s0399,4
z00400,s0400,5
z00401,s0401,6
z00402,s0402,7
z00403,s0403,8
z00404,s0404,9
z00405,s0405,1
z00406,s0406,2
z00407,s0407,3
z00408,nope,4
z00409,s0409,5
z00410,s0410,6
z00411,s0411,7
z00412,s0412,8
z00413,s0413,9
z00414,s0414,1
z00415,s0415,2
z00416,s0416,3
z00417,s0417,4
z00418,s0418,5
z00419,s0419,6
z00420,s0420,7
z00421,s0421,8
z00422,s0422,9
z00423,s0423,1
z00424,s0424,2
z00425,nope,3
z00426,s0426,4
z00427,s0427,5
z00428,s0428,6
z00429,s0429,7
z00430,s0430,8
z00431,s0431,9
z00432,s0432,1
z00433,s0433,2
z00434,s0434,3
z00435,s0435,4
z00436,s0436,5
z00437,s0437,6
z00438,s0438,7
z00439,s0439,8
z00440,s0440,9
z00441,s0441,1
z00442,nope,2
z00443,s0443,3
z00444,s0444,4
z00445,s0445,5
z00446,s0446,6
z00447,s0447,7
z00448,s0448,8
z00449,s0449,9
z00450,s0450,1
z00451,s0451,2
z00452,s0452,3
z00453,s0453,4
z00454,s0454,5
z00455,s0455,6
z00456,s0456,7
z00457,s0457,8
z00458,s0458,9
z00459,nope,1
z00460,s0460,2
z00461,s0461,3
z00462,s0462,4
z00463,s0463,5
z00464,s0464,6
z00465,s0465,7
z00466,s0466,8
z00467,s0467,9
z00468,s0468,1
z00469,s0469,2
z00470,s0470,3
z00471,s0471,4
z00472,s0472,5
z00473,s0473,6
z00474,s0474,7
z00475,s0475,8
z00476,nope,9
z00477,s0477,1
z00478,s0478,2
z00479,s0479,3
z00480,s0480,4
z00481,s0481,5
z00482,s0482,6
z00483,s0483,7
z00484,s0484,8
z00485,s0485,9
z00486,s0486,1
z00487,s0487,2
z00488,s0488,3
z00489,s0489,4
z00490,s0490,5
z00491,s0491,6
z00492,s0492,7
z00493,nope,8
z00494,s0494,9
z00495,s0495,1
z00496,s0496,2
z00497,s0497,3
z00498,s0498,4
z00499,s0499,5
z00500,s0500,6
z00501,s0501,7
z00502,s0502,8
z00503,s0503,9
z00504,s0504,1
z00505,s0505,2
z00506,s0506,3
z00507,s0507,4
z00508,s0508,5
z00509,s0509,6
z00510,nope,7
z00511,s0511,8
z00512,s0512,9
z00513,s0513,1
z00514,s0514,2
z00515,s0515,3
z00516,s0516,4
z00517,s0517,5
z00518,s0518,6
z00519,s0519,7
z00520,s0520,8
z00521,s0521,9
z00522,s0522,1
z00523,s0523,2
z00524,s0524,3
z00525,s0525,4
z00526,s0526,5
z00527,nope,6
z00528,s0528,7
z00529,s0529,8
z00530,s0530,9
z00531,s0531,1
z00532,s0532,2
z00533,s0533,3
z00534,s0534,4
z00535,s0535,5
z00536,s0536,6
z00537,s0537,7
z00538,s0538,8
z00539,s0539,9
z00540,s0540,1
z00541,s0541,2
z00542,s0542,3
z00543,s0543,4
z00544,nope,5
z00545,s0545,6
z00546,s0546,7
z00547,s0547,8
z00548,s0548,9
z00549,s0549,1
z00550,s0550,2
z00551,s0551,3
z00552,s0552,4
z00553,s0553,5
z00554,s0554,6
z00555,s0555,7
z00556,s0556,8
z00557,s0557,9
z00558,s0558,1
z00559,s0559,2
z00560,s0560,3
z00561,nope,4
z00562,s0562,5
z00563,s0563,6
z00564,s0564,7
z00565,s0565,8
z00566,s0566,9
z00567,s0567,1
z00568,s0568,2
z00569,s0569,3
z00570,s0570,4
z00571,s0571,5
z00572,s0572,6
z00573,s0573,7
z00574,s0574,8
z00575,s0575,9
z00576,s0576,1
z00577,s0577,2
z00578,nope,3
z00579,s0579,4
z00580,s0580,5
z00581,s0581,6
z00582,s0582,7
z00583,s0583,8
z00584,s0584,9
z00585,s0585,1
z00586,s0586,2
z00587,s0587,3
z00588,s0588,4
z00589,s0589,5
z00590,s0590,6
z00591,s0591,7
z00592,s0592,8
z00593,s0593,9
z00594,s0594,1
z00595,nope,2
z00596,s0596,3
z00597,s0597,4
z00598,s0598,5
z00599,s0599,6
z00600,s0600,7
z00601,s0601,8
z00602,s0602,9
z00603,s0603,1
z00604,s0604,2
z00605,s0605,3
z00606,s0606,4
z00607,s0607,5
z00608,s0608,6
z00609,s0609,7
z00610,s0610,8
z00611,s0611,9
z00612,nope,1
z00613,s0613,2
z00614,s0614,3
z00615,s0615,4
z00616,s0616,5
z00617,s0617,6
z00618,s0618,7
z00619,s0619,8
z00620,s0620,9
z00621,s0621,1
z00622,s0622,2
z00623,s0623,3
z00624,s0624,4
z00625,s0625,5
z00626,s0626,6
z00627,s0627,7
z00628,s0628,8
z00629,nope,9
z00630,s0630,1
z00631,s0631,2
z00632,s0632,3
z00633,s0633,4
z00634,s0634,5
z00635,s0635,6
z00636,s0636,7
z00637,s0637,8
z00638,s0638,9
z00639,s0639,1
z00640,s0640,2
z00641,s0641,3
z00642,s0642,4
z00643,s0643,5
z00644,s0644,6
z00645,s0645,7
z00646,nope,8
z00647,s0647,9
z00648,s0648,1
z00649,s0649,2
z00650,s0650,3
z00651,s0651,4
z00652,s0652,5
z00653,s0653,6
z00654,s0654,7
z00655,s0655,8
z00656,s0656,9
z00657,s0657,1
z00658,s0658,2
z00659,s0659,3
z00660,s0660,4
z00661,s0661,5
z00662,s0662,6
z00663,nope,7
z00664,s0664,8
z00665,s0665,9
z00666,s0666,1
z00667,s0667,2
z00668,s0668,3
z00669,s0669,4
z00670,s0670,5
z00671,s0671,6
z00672,s0672,7
z00673,s0673,8
z00674,s0674,9
z00675,s0675,1
z00676,s0676,2
z00677,s0677,3
z00678,s0678,4
z00679,s0679,5
z00680,nope,6
z00681,s0681,7
z00682,s0682,8
z00683,s0683,9
z00684,s0684,1
z00685,s0685,2
z00686,s0686,3
z00687,s0687,4
z00688,s0688,5
z00689,s0689,6
z00690,s0690,7
z00691,s0691,8
z00692,s0692,9
z00693,s0693,1
z00694,s0694,2
z00695,s0695,3
z00696,s0696,4
z00697,nope,5
z00698,s0698,6
z00699,s0699,7
z00700,s0700,8
z00701,s0701,9
z00702,s0702,1
z00703,s0703,2
z00704,s0704,3
z00705,s0705,4
z00706,s0706,5
z00707,s0707,6
z00708,s0708,7
z00709,s0709,8
z00710,s0710,9
z00711,s0711,1
z00712,s0712,2
z00713,s0713,3
z00714,nope,4
z00715,s0715,5
z00716,s0716,6
z00717,s0717,7
z00718,s0718,8
z00719,s0719,9
z00720,s0720,1
z00721,s0721,2
z00722,s0722,3
z00723,s0723,4
z00724,s0724,5
z00725,s0725,6
z00726,s0726,7
z00727,s0727,8
z00728,s0728,9
z00729,s0729,1
z00730,s0730,2
z00731,nope,3
z00732,s0732,4
z00733,s0733,5
z00734,s0734,6
z00735,s0735,7
z00736,s0736,8
z00737,s0737,9
z00738,s0738,1
z00739,s0739,2
z00740,s0740,3
z00741,s0741,4
z00742,s0742,5
z00743,s0743,6
z00744,s0744,7
z00745,s0745,8
z00746,s0746,9
z00747,s0747,1
z00748,nope,2
z00749,s0749,3
z00750,s0750,4
z00751,s0751,5
z00752,s0752,6
z00753,s0753,7
z00754,s0754,8
z00755,s0755,9
z00756,s0756,1
z00757,s0757,2
z00758,s0758,3
z00759,s0759,4
z00760,s0760,5
z00761,s0761,6
z00762,s0762,7
z00763,s0763,8
z00764,s0764,9
z00765,nope,1
z00766,s0766,2
z00767,s0767,3
z00768,s0768,4
z00769,s0769,5
z00770,s0770,6
z00771,s0771,7
z00772,s0772,8
z00773,s0773,9
z00774,s0774,1
z00775,s0775,2
z00776,s0776,3
z00777,s0777,4
z00778,s0778,5
z00779,s0779,6
z00780,s0780,7
z00781,s0781,8
z00782,nope,9
z00783,s0783,1
z00784,s0784,2
z00785,s0785,3
z00786,s0786,4
z00787,s0787,5
z00788,s0788,6
z00789,s0789,7
z00790,s0790,8
z00791,s0791,9
z00792,s0792,1
z00793,s0793,2
z00794,s0794,3
z00795,s0795,4
z00796,s0796,5
z00797,s0797,6
z00798,s0798,7
z00799,nope,8
z00800,s0800,9
z00801,s0801,1
z00802,s0802,2
z00803,s0803,3
z00804,s0804,4
z00805,s0805,5
z00806,s0806,6
z00807,s0807,7
z00808,s0808,8
z00809,s0809,9
z00810,s0810,1
z00811,s0811,2
z00812,s0812,3
z00813,s0813,4
z00814,s0814,5
z00815,s0815,6
z00816,nope,7
z00817,s0817,8
z00818,s0818,9
z00819,s0819,1
z00820,s0820,2
z00821,s0821,3
z00822,s0822,4
z00823,s0823,5
z00824,s0824,6
z00825,s0825,7
z00826,s0826,8
z00827,s0827,9
z00828,s0828,1
z00829,s0829,2
z00830,s0830,3
z00831,s0831,4
z00832,s0832,5
z00833,nope,6
z00834,s0834,7
z00835,s0835,8
z00836,s0836,9
z00837,s0837,1
z00838,s0838,2
z00839,s0839,3
z00840,s0840,4
z00841,s0841,5
z00842,s0842,6
z00843,s0843,7
z00844,s0844,8
z00845,s0845,9
z00846,s0846,1
z00847,s0847,2
z00848,s0848,3
z00849,s0849,4
z00850,nope,5
z00851,s0851,6
z00852,s0852,7
z00853,s0853,8
z00854,s0854,9
z00855,s0855,1
z00856,s0856,2
z00857,s0857,3
z00858,s0858,4
z00859,s0859,5
z00860,s0860,6
z00861,s0861,7
z00862,s0862,8
z00863,s0863,9
z00864,s0864,1
z00865,s0865,2
z00866,s0866,3
z00867,nope,4
z00868,s0868,5
z00869,s0869,6
z00870,s0870,7
z00871,s0871,8
z00872,s0872,9
z00873,s0873,1
z00874,s0874,2
z00875,s0875,3
z00876,s0876,4
z00877,s0877,5
z00878,s0878,6
z00879,s0879,7
z00880,s0880,8
z00881,s0881,9
z00882,s0882,1
z00883,s0883,2
z00884,nope,3
z00885,s0885,4
z00886,s0886,5
z00887,s0887,6
z00888,s0888,7
z00889,s0889,8
z00890,s0890,9
z00891,s0891,1
z00892,s0892,2
z00893,s0893,3
z00894,s0894,4
z00895,s0895,5
z00896,s0896,6
z00897,s0897,7
z00898,s0898,8
z00899,s0899,9
z00900,s0900,1
z00901,nope,2
z00902,s0902,3
z00903,s0903,4
z00904,s0904,5
z00905,s0905,6
z00906,s0906,7
z00907,s0907,8
z00908,s0908,9
z00909,s0909,1
z00910,s0910,2
z00911,s0911,3
z00912,s0912,4
z00913,s0913,5
z00914,s0914,6
z00915,s0915,7
z00916,s0916,8
z00917,s0917,9
z00918,nope,1
z00919,s0919,2
z00920,s0920,3
z00921,s0921,4
z00922,s0922,5
z00923,s0923,6
z00924,s0924,7
z00925,s0925,8
z00926,s0926,9
z00927,s0927,1
z00928,s0928,2
z00929,s0929,3
z00930,s0930,4
z00931,s0931,5
z00932,s0932,6
z00933,s0933,7
z00934,s0934,8
z00935,nope,9
z00936,s0936,1
z00937,s0937,2
z00938,s0938,3
z00939,s0939,4
z00940,s0940,5
z00941,s0941,6
z00942,s0942,7
z00943,s0943,8
z00944,s0944,9
z00945,s0945,1
z00946,s0946,2
z00947,s0947,3
z00948,s0948,4
z00949,s0949,5
z00950,s0950,6
z00951,s0951,7
z00952,nope,8
z00953,s0953,9
z00954,s0954,1
z00955,s0955,2
z00956,s0956,3
z00957,s0957,4
z00958,s0958,5
z00959,s0959,6
z00960,s0960,7
z00961,s0961,8
z00962,s0962,9
z00963,s0963,1
z00964,s0964,2
z00965,s0965,3
z00966,s0966,4
z00967,s0967,5
z00968,s0968,6
z00969,nope,7
z00970,s0970,8
z00971,s0971,9
z00972,s0972,1
z00973,s0973,2
z00974,s0974,3
z00975,s0975,4
z00976,s0976,5
z00977,s0977,6
z00978,s0978,7
z00979,s0979,8
z00980,s0980,9
z00981,s0981,1
z00982,s0982,2
z00983,s0983,3
z00984,s0984,4
z00985,s0985,5
z00986,nope,6
z00987,s0987,7
z00988,s0988,8
z00989,s0989,9
z00990,s0990,1
z00991,s0991,2
z00992,s0992,3
z00993,s0993,4
z00994,s0994,5
z00995,s0995,6
z00996,s0996,7
z00997,s0997,8
z00998,s0998,9
z00999,s0999,1
z01000,s1000,2
z01001,s1001,3
z01002,s1002,4
z01003,nope,5
z01004,s1004,6
z01005,s1005,7
z01006,s1006,8
z01007,s1007,9
z01008,s1008,1
z01009,s1009,2
z01010,s1010,3
z01011,s1011,4
z01012,s1012,5
z01013,s1013,6
z01014,s1014,7
z01015,s1015,8
z01016,s1016,9
z01017,s1017,1
z01018,s1018,2
z01019,s1019,3
z01020,nope,4
z01021,s1021,5
z01022,s1022,6
z01023,s1023,7
z01024,s1024,8
z01025,s1025,9
z01026,s1026,1
z01027,s1027,2
z01028,s1028,3
z01029,s1029,4
z01030,s1030,5
z01031,s1031,6
z01032,s1032,7
z01033,s1033,8
z01034,s1034,9
z01035,s1035,1
z01036,s1036,2
z01037,nope,3
z01038,s1038,4
z01039,s1039,5
z01040,s1040,6
z01041,s1041,7
z01042,s1042,8
z01043,s1043,9
z01044,s1044,1
z01045,s1045,2
z01046,s1046,3
z01047,s1047,4
z01048,s1048,5
z01049,s1049,6
z01050,s1050,7
z01051,s1051,8
z01052,s1052,9
z01053,s1053,1
z01054,nope,2
z01055,s1055,3
z01056,s1056,4
z01057,s1057,5
z01058,s1058,6
z01059,s1059,7
z01060,s1060,8
z01061,s1061,9
z01062,s1062,1
z01063,s1063,2
z01064,s1064,3
z01065,s1065,4
z01066,s1066,5
z01067,s1067,6
z01068,s1068,7
z01069,s1069,8
z01070,s1070,9
z01071,nope,1
z01072,s1072,2
z01073,s1073,3
z01074,s1074,4
z01075,s1075,5
z01076,s1076,6
z01077,s1077,7
z01078,s1078,8
z01079,s1079,9
z01080,s1080,1
z01081,s1081,2
z01082,s1082,3
z01083,s1083,4
z01084,s1084,5
z01085,s1085,6
z01086,s1086,7
z01087,s1087,8
z01088,nope,9
z01089,s1089,1
z01090,s1090,2
z01091,s1091,3
z01092,s1092,4
z01093,s1093,5
z01094,s1094,6
z01095,s1095,7
z01096,s1096,8
z01097,s1097,9
z01098,s1098,1
z01099,s1099,2
z01100,s1100,3
z01101,s1101,4
z01102,s1102,5
z01103,s1103,6
z01104,s1104,7
z01105,nope,8
z01106,s1106,9
z01107,s1107,1
z01108,s1108,2
z01109,s1109,3
z01110,s1110,4
z01111,s1111,5
z01112,s1112,6
z01113,s1113,7
z01114,s1114,8
z01115,s1115,9
z01116,s1116,1
z01117,s1117,2
z01118,s1118,3
z01119,s1119,4
z01120,s1120,5
z01121,s1121,6
z01122,nope,7
z01123,s1123,8
z01124,s1124,9
z01125,s1125,1
z01126,s1126,2
z01127,s1127,3
z01128,s1128,4
z01129,s1129,5
z01130,s1130,6
z01131,s1131,7
z01132,s1132,8
z01133,s1133,9
z01134,s1134,1
z01135,s1135,2
z01136,s1136,3
z01137,s1137,4
z01138,s1138,5
z01139,nope,6
z01140,s1140,7
z01141,s1141,8
z01142,s1142,9
z01143,s1143,1
z01144,s1144,2
z01145,s1145,3
z01146,s1146,4
z01147,s1147,5
z01148,s1148,6
z01149,s1149,7
z01150,s1150,8
z01151,s1151,9
z01152,s1152,1
z01153,s1153,2
z01154,s1154,3
z01155,s1155,4
z01156,nope,5
z01157,s1157,6
z01158,s1158,7
z01159,s1159,8
z01160,s1160,9
z01161,s1161,1
z01162,s1162,2
z01163,s1163,3
z01164,s1164,4
z01165,s1165,5
z01166,s1166,6
z01167,s1167,7
z01168,s1168,8
z01169,s1169,9
z01170,s1170,1
z01171,s1171,2
z01172,s1172,3
z01173,nope,4
z01174,s1174,5
z01175,s1175,6
z01176,s1176,7
z01177,s1177,8
z01178,s1178,9
z01179,s1179,1
z01180,s1180,2
z01181,s1181,3
z01182,s1182,4
z01183,s1183,5
z01184,s1184,6
z01185,s1185,7
z01186,s1186,8
z01187,s1187,9
z01188,s1188,1
z01189,s1189,2
z01190,nope,3
z01191,s1191,4
z01192,s1192,5
z01193,s1193,6
z01194,s1194,7
z01195,s1195,8
z01196,s1196,9
z01197,s1197,1
z01198,s1198,2
z01199,s1199,3
z01200,s1200,4
z01201,s1201,5
z01202,s1202,6
z01203,s1203,7
z01204,s1204,8
z01205,s1205,9
z01206,s1206,1
z01207,nope,2
z01208,s1208,3
z01209,s1209,4
z01210,s1210,5
z01211,s1211,6
z01212,s1212,7
z01213,s1213,8
z01214,s1214,9
z01215,s1215,1
z01216,s1216,2
z01217,s1217,3
z01218,s1218,4
z01219,s1219,5
z01220,s1220,6
z01221,s1221,7
z01222,s1222,8
z01223,s1223,9
z01224,nope,1
z01225,s1225,2
z01226,s1226,3
z01227,s1227,4
z01228,s1228,5
z01229,s1229,6
z01230,s1230,7
z01231,s1231,8
z01232,s1232,9
z01233,s1233,1
z01234,s1234,2
z01235,s1235,3
z01236,s1236,4
z01237,s1237,5
z01238,s1238,6
z01239,s1239,7
z01240,s1240,8
z01241,nope,9
z01242,s1242,1
z01243,s1243,2
z01244,s1244,3
z01245,s1245,4
z01246,s1246,5
z01247,s1247,6
z01248,s1248,7
z01249,s1249,8
z01250,s1250,9
z01251,s1251,1
z01252,s1252,2
z01253,s1253,3
z01254,s1254,4
z01255,s1255,5
z01256,s1256,6
z01257,s1257,7
z01258,nope,8
z01259,s1259,9
z01260,s1260,1
z01261,s1261,2
z01262,s1262,3
z01263,s1263,4
z01264,s1264,5
z01265,s1265,6
z01266,s1266,7
z01267,s1267,8
z01268,s1268,9
z01269,s1269,1
z01270,s1270,2
z01271,s1271,3
z01272,s1272,4
z01273,s1273,5
z01274,s1274,6
z01275,nope,7
z01276,s1276,8
z01277,s1277,9
z01278,s1278,1
z01279,s1279,2
z01280,s1280,3
z01281,s1281,4
z01282,s1282,5
z01283,s1283,6
z01284,s1284,7
z01285,s1285,8
z01286,s1286,9
z01287,s1287,1
z01288,s1288,2
z01289,s1289,3
z01290,s1290,4
z01291,s1291,5
z01292,nope,6
z01293,s1293,7
z01294,s1294,8
z01295,s1295,9
z01296,s1296,1
z01297,s1297,2
z01298,s1298,3
z01299,s1299,4
z01300,s1300,5
z01301,s1301,6
z01302,s1302,7
z01303,s1303,8
z01304,s1304,9
z01305,s1305,1
z01306,s1306,2
z01307,s1307,3
z01308,s1308,4
z01309,nope,5
z01310,s1310,6
z01311,s1311,7
z01312,s1312,8
z01313,s1313,9
z01314,s1314,1
z01315,s1315,2
z01316,s1316,3
z01317,s1317,4
z01318,s1318,5
z01319,s1319,6
z01320,s1320,7
z01321,s1321,8
z01322,s1322,9
z01323,s1323,1
z01324,s1324,2
z01325,s1325,3
z01326,nope,4
z01327,s1327,5
z01328,s1328,6
z01329,s1329,7
z01330,s1330,8
z01331,s1331,9
z01332,s1332,1
z01333,s1333,2
z01334,s1334,3
z01335,s1335,4
z01336,s1336,5
z01337,s1337,6
z01338,s1338,7
z01339,s1339,8
z01340,s1340,9
z01341,s1341,1
z01342,s1342,2
z01343,nope,3
z01344,s1344,4
z01345,s1345,5
z01346,s1346,6
z01347,s1347,7
z01348,s1348,8
z01349,s1349,9
z01350,s1350,1
z01351,s1351,2
z01352,s1352,3
z01353,s1353,4
z01354,s1354,5
z01355,s1355,6
z01356,s1356,7
z01357,s1357,8
z01358,s1358,9
z01359,s1359,1
z01360,nope,2
z01361,s1361,3
z01362,s1362,4
z01363,s1363,5
z01364,s1364,6
z01365,s1365,7
z01366,s1366,8
z01367,s1367,9
z01368,s1368,1
z01369,s1369,2
z01370,s1370,3
z01371,s1371,4
z01372,s1372,5
z01373,s1373,6
z01374,s1374,7
z01375,s1375,8
z01376,s1376,9
z01377,nope,1
z01378,s1378,2
z01379,s1379,3
z01380,s1380,4
z01381,s1381,5
z01382,s1382,6
z01383,s1383,7
z01384,s1384,8
z01385,s1385,9
z01386,s1386,1
z01387,s1387,2
z01388,s1388,3
z01389,s1389,4
z01390,s1390,5
z01391,s1391,6
z01392,s1392,7
z01393,s1393,8
z01394,nope,9
z01395,s1395,1
z01396,s1396,2
z01397,s1397,3
z01398,s1398,4
z01399,s1399,5
z01400,s1400,6
z01401,s1401,7
z01402,s1402,8
z01403,s1403,9
z01404,s1404,1
z01405,s1405,2
